Chr	Start	End	Site_count
chr1	0	100000	0
chr1	100000	200000	0
chr1	200000	300000	0
chr1	300000	400000	0
chr1	400000	500000	0
chr1	500000	600000	0
chr1	600000	700000	0
chr1	700000	800000	0
chr1	800000	900000	0
chr1	900000	1000000	0
chr1	1000000	1100000	0
chr1	1100000	1200000	0
chr1	1200000	1300000	0
chr1	1300000	1400000	0
chr1	1400000	1500000	0
chr1	1500000	1600000	0
chr1	1600000	1700000	0
chr1	1700000	1800000	0
chr1	1800000	1900000	0
chr1	1900000	2000000	0
chr1	2000000	2100000	0
chr1	2100000	2200000	0
chr1	2200000	2300000	0
chr1	2300000	2400000	0
chr1	2400000	2500000	0
chr1	2500000	2600000	0
chr1	2600000	2700000	0
chr1	2700000	2800000	0
chr1	2800000	2900000	0
chr1	2900000	3000000	0
chr1	3000000	3100000	527
chr1	3100000	3200000	518
chr1	3200000	3300000	521
chr1	3300000	3400000	447
chr1	3400000	3500000	500
chr1	3500000	3600000	574
chr1	3600000	3700000	398
chr1	3700000	3800000	465
chr1	3800000	3900000	452
chr1	3900000	4000000	579
chr1	4000000	4100000	444
chr1	4100000	4200000	448
chr1	4200000	4300000	480
chr1	4300000	4400000	544
chr1	4400000	4500000	620
chr1	4500000	4600000	595
chr1	4600000	4700000	706
chr1	4700000	4800000	766
chr1	4800000	4900000	771
chr1	4900000	5000000	717
chr1	5000000	5100000	566
chr1	5100000	5200000	513
chr1	5200000	5300000	519
chr1	5300000	5400000	568
chr1	5400000	5500000	442
chr1	5500000	5600000	482
chr1	5600000	5700000	438
chr1	5700000	5800000	512
chr1	5800000	5900000	440
chr1	5900000	6000000	472
chr1	6000000	6100000	477
chr1	6100000	6200000	541
chr1	6200000	6300000	663
chr1	6300000	6400000	527
chr1	6400000	6500000	635
chr1	6500000	6600000	458
chr1	6600000	6700000	532
chr1	6700000	6800000	498
chr1	6800000	6900000	553
chr1	6900000	7000000	537
chr1	7000000	7100000	597
chr1	7100000	7200000	702
chr1	7200000	7300000	610
chr1	7300000	7400000	731
chr1	7400000	7500000	418
chr1	7500000	7600000	476
chr1	7600000	7700000	517
chr1	7700000	7800000	462
chr1	7800000	7900000	509
chr1	7900000	8000000	454
chr1	8000000	8100000	596
chr1	8100000	8200000	572
chr1	8200000	8300000	403
